Incident Date,State,City Or County,# Killed,# Injured,Code
2019-07-01,Maryland,Baltimore,0,4,MD
2019-07-02,Missouri,Saint Louis (Wellston),0,4,MO
2019-07-03,Texas,Katy,2,3,TX
2019-07-04,California,Los Angeles,0,4,CA
2019-07-04,Illinois,Rockford,0,4,IL
2019-07-04,California,Fresno,1,3,CA
2019-07-04,Illinois,Chicago,1,3,IL
2019-07-05,Massachusetts,Boston,0,6,MA
2019-07-05,New York,Brooklyn,0,4,NY
2019-07-05,Nevada,Reno,1,3,NV
2019-07-05,Illinois,Chicago,0,5,IL
2019-07-06,California,San Jose,0,4,CA
2019-07-06,Missouri,Saint Louis,5,0,MO
2019-07-07,New Mexico,Albuquerque,0,4,NM
2019-07-07,Illinois,Chicago,0,4,IL
2019-07-07,Illinois,Chicago,0,4,IL
2019-07-07,Missouri,Saint Louis,0,5,MO
2019-07-07,Michigan,Flint,0,6,MI
2019-07-08,District of Columbia,Washington,2,2,DC
2019-07-11,Texas,Houston,0,4,TX
2019-07-13,Pennsylvania,Philadelphia,0,7,PA
2019-07-13,Illinois,Chicago,1,4,IL
2019-07-14,Illinois,Chicago,0,4,IL
2019-07-15,Georgia,Atlanta,0,4,GA
2019-07-16,Texas,San Antonio,0,4,TX
2019-07-17,Texas,Lubbock,1,3,TX
2019-07-18,Illinois,Chicago,1,3,IL
2019-07-20,Pennsylvania,Clairton,0,4,PA
2019-07-20,Illinois,Chicago,0,7,IL
2019-07-20,Maryland,Baltimore,1,3,MD
2019-07-21,Illinois,Chicago,0,4,IL
2019-07-21,District of Columbia,Washington,0,4,DC
2019-07-25,California,Canoga Park,4,2,CA
2019-07-26,Washington,Kennewick,1,3,WA
2019-07-27,New York,Brooklyn,1,11,NY
2019-07-27,Kansas,Wichita,1,3,KS
2019-07-28,California,Gilroy,4,17,CA
2019-07-28,Pennsylvania,Philadelphia,1,5,PA
2019-07-28,District of Columbia,Washington,0,4,DC
2019-07-28,Illinois,Chicago,0,4,IL
2019-07-28,Wisconsin,Chippewa Falls,5,2,WI
2019-07-30,Ohio,Columbus,0,5,OH
2019-08-02,Virginia,Suffolk,2,3,VA
2019-08-03,Texas,El Paso,23,23,TX
2019-08-04,Ohio,Dayton,10,17,OH
2019-08-04,Illinois,Chicago,0,7,IL
2019-08-04,Tennessee,Memphis,1,3,TN
2019-08-04,Illinois,Chicago,1,7,IL
2019-08-04,Louisiana,Lake Charles,0,4,LA
2019-08-05,New York,Brooklyn,0,4,NY
2019-08-07,Missouri,Saint Louis,3,1,MO
2019-08-09,Illinois,Chicago,0,4,IL
2019-08-10,Virginia,Richmond,0,4,VA
2019-08-10,California,San Francisco,0,4,CA
2019-08-11,Illinois,Chicago,0,6,IL
2019-08-12,Mississippi,Greenwood,0,4,MS
2019-08-13,Washington,Tacoma,2,3,WA
2019-08-14,Pennsylvania,Philadelphia,0,6,PA
2019-08-15,Pennsylvania,Philadelphia,0,5,PA
2019-08-15,Alabama,Montgomery,2,3,AL
2019-08-17,Texas,Houston,0,6,TX
2019-08-18,Missouri,Kansas City,0,4,MO
2019-08-20,Georgia,Atlanta,0,4,GA
2019-08-22,California,Los Angeles,0,4,CA
2019-08-22,South Carolina,Columbia,2,2,SC
2019-08-23,Texas,Houston,3,2,TX
2019-08-23,Missouri,Saint Louis,1,3,MO
2019-08-23,Georgia,Dublin,0,4,GA
2019-08-24,Maryland,Temple Hills (Camp Springs),0,7,MD
2019-08-24,Massachusetts,Lynn,1,3,MA
2019-08-25,Illinois,Chicago,1,3,IL
2019-08-25,New Mexico,Hobbs,3,4,NM
2019-08-29,Maryland,Baltimore,1,3,MD
