Incident Date,State,City Or County,# Killed,# Injured,Code
2020-06-20,Kansas,Wichita,0,5,KS
2020-06-21,Illinois,Chicago,1,3,IL
2020-06-21,Wisconsin,Milwaukee,0,5,WI
2020-06-21,Texas,Corpus Christi,1,3,TX
2020-06-21,Alabama,Auburn,0,4,AL
2020-06-21,Minnesota,Minneapolis,0,11,MN
2020-06-21,Texas,Austin,0,5,TX
2020-06-21,New York,Buffalo,0,4,NY
2020-06-22,California,San Francisco,0,5,CA
2020-06-22,North Carolina,Charlotte,4,5,NC
2020-06-22,New York,Brooklyn,0,5,NY
2020-06-22,Illinois,Chicago,0,5,IL
